State,Restaurants (Outdoor),Bars and Restaurants,Restaurants Only,Retail (Curbside Pickup),Retail,Hair Salons/Barbershops,Non-Hair Care,Gyms,Entertainment,Houses of Worship,Office Environments,Construction,Beaches,State Parks,Restaurants (outdoor dining only),Restaurants and bars,Dine-in Restaurants (no bars),Retail (curbside pickup only),Retail,Hair Salons and Barbershops,Non-hair Personal Care,Gyms & Fitness Centers,Entertainment,Houses of Worship,Office Environments,Construction,Beaches,State Parks,,,Outdoor Recreation
Alabama,,511,511,,501,,,511,522,627,,,501,,,11-May,11-May,,5/1/2020,,11-May,11-May,22-May,6/27/2020,,,,,,,1-May
Alaska,,508,501,,501,501,501,507,509,625,,,,,,8-May,1-May,,1-May,1-May,6-May,7-May,8-May,25-Jun,,,,,,,7-May
Arizona,,,511,0504 0515,508,508,,0514 0630,,627,,,,,,,,,,,,,,,,,,,,,
Arkansas,,526,511,,627,506,506,504,518,627,,,,501,,,11-May,,27-Jun,6-May,6-May,,18-May,27-Jun,,,,1-May,,,1-May
California,715,0612 0630 0703 0715,0514 0715,0508 0526,526,527,622,612,612,526,514,,,,,,,,,,,,,,,,,,,,
Colorado,,0622 0702,527,0501 0519,519,,,608,,627,504,,,514,,,,,,,,,,,,,,,,,
Connecticut,0520 0617,,617,,520,601,617,617,617,627,520,,522,709,,,,,,,,,,,,,,,,,
Delaware,,601,601,0508 0522,520,508,601,601,,627,,,522,625,,,,,,,,,,,,,,,,,
District of Columbia,0529 0622,,622,0529 0622,0520 0529 0622,529,622,622,,625,,,,,,,,,,,,,,,,,,,,,
Florida,,0605 0627,504,,504,,605,518,605,0512 0626 0627,,,507,,,,,,,,,,,,,,,,,,
Georgia,,601,501,,626,501,,501,501,627,,,,,,,,,,,,,,,,,,,,,
Hawaii,,627,601,,507,527,529,601,626,527,605,527,501,507,,,,,,,,,,,,,,,,,
Idaho,,530,516,,626,516,,516,530,501,,,,,,,,,,,,,,,,,,,,,
Illinois,0529 0626,,626,0501 0529,529,529,529,529,,626,529,,,501,,,,,,,,,,,,,,,,,
Indiana,,612,511,,504,511,511,522,522,508,506,,,522,,,,,,,,,,,,,,,,,
Iowa,,528,501,,501,515,508,501,522,512,,,,508,,,,,,,,,,,,,,,,,
Kansas,,608,504,,504,518,518,518,522,504,508,,,,,,,,,,,,,,,,,,,,
Kentucky,,630,522,,520,526,526,601,601,515,511,511,,611,,,,,,,,,,,,,,,,,
Louisiana,0506 0516,0515 0713,515,0506 0516,,515,605,515,515,515,,,,515,,,,,,,,,,,,,,,,,
Maine,,612,518,,511,501,612,612,702,601,,,,501,,,,,,,,,,,,,,,,,
Maryland,0529 0615,709,612,,515,515,605,622,,515,605,605,507,507,,,,,,,,,,,,,,,,,
Massachusetts,0608 0622,,622,,526,526,622,706,706,518,526,518,526,,,,,,,,,,,,,,,,,,
Michigan,,522,522,0501 0526,522,610,610,610,610,627,522,507,,,,,,,,,,,,,,,,,,,
Minnesota,,601,0610 0611,0504 0518,518,601,601,610,610,527,501,,,601,,,,,,,,,,,,,,,,,
Mississippi,,507,508,,501,511,516,511,601,627,,,,507,,,,,,,,,,,,,,,,,
Missouri,,,504,,504,504,504,504,506,627,,,,519,,,,,,,,,,,,,,,,,
Montana,,504,504,,501,506,506,515,515,501,,,,,,,,,,,,,,,,,,,,,
Nebraska,,601,504,,627,504,504,622,601,504,,,,,,,,,,,,,,,,,,,,,
Nevada,,529,509,0501 0509,509,509,529,529,529,529,,,,509,,,,,,,,,,,,,,,,,
New Hampshire,0518 0624,,615,,511,511,601,601,615,0603 0626 0627,,,601,,,,,,,,,,,,,,,,,,
New Jersey,615,,,0518 0615,615,622,622,703,702,626,,518,522,0504 0508 0622,,,,,,,,,,,,,,,,,
New Mexico,0528 0601,,0601 0713,0502 0516,516,601,601,601,,516,516,,,502,,,,,,,,,,,,,,,,,
New York,604,,,0515 0622,530,530,612,,,521,530,515,522,,,,,,,,,,,,,,,,,,
North Carolina,,,522,,508,522,522,,,624,,,,,,,,,,,,,,,,,,,,,
North Dakota,,501,501,,627,,501,501,501,627,,,,,,,,,,,,,,,,,,,,,
Ohio,0515 0522,521,,,512,515,,526,601,627,504,504,,521,,,,,,,,,,,,,,,,,
Oklahoma,,515,501,,624,501,501,0501 0502 0505,501,501,502,,,501,,,,,,,,,,,,,,,,,
Oregon,,622,0515 0622,,515,515,,515,605,624,605,,,506,,,,,,,,,,,,,,,,,
Pennsylvania,0606 0626,529,,,508,529,,529,,627,,,611,501,,,,,,,,,,,,,,,,,
Rhode Island,0518 0601,,601,,509,509,601,601,,0530 0626 0627,509,,601,509,,,,,,,,,,,,,,,,,
South Carolina,0508 0511,,0504 0508 0511,,501,518,518,518,,627,,,501,,,,,,,,,,,,,,,,,,
South Dakota,,,627,,627,627,,627,,627,,,,,,,,,,,,,,,,,,,,,
Tennessee,,,501,,501,506,,501,,702,,,,501,,,,,,,,,,,,,,,,,
Texas,,0522 0626,501,,501,508,519,518,501,627,518,,,501,,,,,,,,,,,,,,,,,
Utah,,,501,,627,,,501,710,622,,,,,,,,,,,,,,,,,,,,,
Vermont,,,610,,518,610,610,610,,627,,501,,508,,,,,,,,,,,,,,,,,
Virginia,0515 0605,605,,,515,515,,605,,0515 0626 0627,,,529,515,,,,,,,,,,,,,,,,,
Washington,,,512,0506 0626,606,606,606,606,,528,,501,,506,,,,,,,,,,,,,,,,,
West Virginia,0504 0522,526,521,,521,504,521,518,530,627,,,,521,,,,,,,,,,,,,,,,,
Wisconsin,,624,,,506,624,,625,,0622 0626 0627,,,,501,,,,,,,,,,,,,,,,,
Wyoming,,,515,,703,501,501,501,515,627,,,,518,,,,,,,,,,,,,,,,,
